球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
詹姆斯-哈登,18-19,胜,骑士113-141火箭,1,30,50.00%,12,24,50.00%,8,16,100.00%,11,11,10,0,10,12,2,2,4,2,43
詹姆斯-哈登,18-19,负,雄鹿116-109火箭,1,41,43.30%,13,30,37.50%,6,16,90.90%,10,11,11,1,10,6,2,1,9,4,42
詹姆斯-哈登,18-19,胜,掘金113-125火箭,1,40,38.90%,7,18,40.00%,6,15,80.00%,12,15,5,0,5,14,1,1,6,4,32
詹姆斯-哈登,18-19,负,开拓者110-101火箭,1,37,37.10%,13,35,29.40%,5,17,100.00%,7,7,5,0,5,7,1,1,7,4,38
詹姆斯-哈登,18-19,胜,勇士134-135火箭,1,44,40.60%,13,32,43.50%,10,23,88.90%,8,9,10,2,8,15,1,2,7,4,44
詹姆斯-哈登,18-19,胜,灰熊101-113火箭,1,41,42.10%,8,19,50.00%,6,12,77.80%,21,27,10,1,9,13,2,0,9,3,43
詹姆斯-哈登,18-19,胜,鹈鹕104-108火箭,1,37,40.00%,10,25,41.20%,7,17,100.00%,14,14,9,3,6,6,3,2,7,4,41
詹姆斯-哈登,18-19,胜,凯尔特113-127火箭,1,39,42.30%,11,26,50.00%,9,18,82.40%,14,17,2,0,2,6,0,1,6,2,45
詹姆斯-哈登,18-19,胜,雷霆109-113火箭,1,39,42.90%,15,35,31.30%,5,16,85.70%,6,7,6,2,4,7,2,1,6,3,41
詹姆斯-哈登,18-19,胜,马刺101-108火箭,1,41,35.30%,12,34,36.80%,7,19,88.90%,8,9,4,2,2,10,2,0,3,4,39
詹姆斯-哈登,18-19,负,热火101-99火箭,1,43,30.40%,7,23,42.90%,6,14,83.30%,15,18,6,1,5,12,2,0,3,4,35
詹姆斯-哈登,18-19,胜,奇才118-136火箭,1,34,55.60%,10,18,54.50%,6,11,100.00%,9,9,3,0,3,9,2,0,2,4,35
詹姆斯-哈登,18-19,胜,爵士97-102火箭,1,41,45.20%,14,31,33.30%,4,12,93.80%,15,16,6,0,6,5,5,0,5,4,47
詹姆斯-哈登,18-19,胜,灰熊97-105火箭,1,41,64.30%,9,14,42.90%,3,7,84.60%,11,13,12,0,12,10,2,0,5,1,32
詹姆斯-哈登,18-19,胜,湖人111-126火箭,1,35,53.80%,14,26,33.30%,4,12,94.70%,18,19,10,2,8,11,2,0,6,4,50
詹姆斯-哈登,18-19,胜,开拓者104-111火箭,1,32,47.60%,10,21,44.40%,4,9,71.40%,5,7,1,0,1,4,1,0,2,4,29
詹姆斯-哈登,18-19,负,独行侠107-104火箭,1,37,50.00%,11,22,37.50%,6,16,100.00%,7,7,4,0,4,8,1,1,6,5,35
詹姆斯-哈登,18-19,负,爵士118-91火箭,1,28,31.30%,5,16,25.00%,2,8,100.00%,3,3,6,1,5,2,0,0,7,3,15
詹姆斯-哈登,18-19,负,森林狼103-91火箭,1,37,47.10%,8,17,42.90%,3,7,76.90%,10,13,4,0,4,8,2,1,5,5,29
詹姆斯-哈登,18-19,胜,公牛105-121火箭,1,30,56.30%,9,16,54.50%,6,11,85.70%,6,7,6,0,6,7,1,1,7,1,30
詹姆斯-哈登,18-19,胜,马刺105-136火箭,1,28,45.00%,9,20,27.30%,3,11,100.00%,2,2,7,1,6,10,0,1,2,4,23
詹姆斯-哈登,18-19,负,独行侠128-108火箭,1,37,46.70%,7,15,36.40%,4,11,77.80%,7,9,11,1,10,17,6,0,8,4,25
詹姆斯-哈登,18-19,负,奇才135-131火箭,1,47,53.10%,17,32,46.70%,7,15,86.70%,13,15,8,1,7,13,3,0,11,4,54
詹姆斯-哈登,18-19,负,骑士117-108火箭,1,44,46.70%,14,30,41.70%,5,12,58.30%,7,12,4,1,3,13,1,0,9,3,40
詹姆斯-哈登,18-19,负,活塞116-111火箭,1,41,33.30%,9,27,27.30%,3,11,85.70%,12,14,2,1,1,8,0,1,7,5,33
詹姆斯-哈登,18-19,胜,活塞124-126火箭,1,36,50.00%,10,20,44.40%,4,9,100.00%,19,19,7,1,6,9,4,0,6,3,43
詹姆斯-哈登,18-19,胜,国王112-132火箭,1,34,58.80%,10,17,40.00%,4,10,100.00%,10,10,4,0,4,8,3,0,6,3,34
詹姆斯-哈登,18-19,胜,勇士86-107火箭,1,32,34.80%,8,23,28.60%,4,14,87.50%,7,8,3,0,3,3,2,0,1,4,27
詹姆斯-哈登,18-19,胜,掘金99-109火箭,1,37,43.80%,7,16,20.00%,2,10,75.00%,6,8,5,1,4,11,3,1,4,3,22
詹姆斯-哈登,18-19,胜,步行者103-115火箭,1,38,45.00%,9,20,44.40%,8,18,93.30%,14,15,7,0,7,9,1,1,9,5,40
詹姆斯-哈登,18-19,负,马刺96-89火箭,1,39,25.90%,7,27,7.70%,1,13,76.90%,10,13,6,0,6,3,2,2,2,3,25
詹姆斯-哈登,18-19,负,雷霆98-80火箭,1,38,36.80%,7,19,33.30%,4,12,33.30%,1,3,8,1,7,5,2,1,5,3,19
詹姆斯-哈登,18-19,胜,步行者94-98火箭,1,35,46.70%,7,15,41.70%,5,12,100.00%,9,9,4,0,4,6,3,1,5,5,28
詹姆斯-哈登,18-19,胜,公牛88-96火箭,1,33,41.20%,7,17,41.70%,5,12,75.00%,6,8,1,0,1,7,4,0,8,3,25
詹姆斯-哈登,18-19,负,爵士100-89火箭,1,32,52.60%,10,19,75.00%,3,4,66.70%,6,9,5,1,4,7,1,0,7,4,29
詹姆斯-哈登,18-19,负,快船115-112火箭,1,40,42.30%,11,26,33.30%,4,12,83.30%,5,6,4,0,4,14,2,0,3,1,31
詹姆斯-哈登,18-19,胜,湖人115-124火箭,1,38,52.60%,10,19,50.00%,5,10,73.30%,11,15,7,1,6,5,2,1,6,2,36
詹姆斯-哈登,18-19,负,鹈鹕131-112火箭,1,35,40.00%,6,15,37.50%,3,8,75.00%,3,4,9,2,7,10,3,1,4,2,18
詹姆斯-哈登,17-18,胜,湖人99-105火箭,1,31,40.00%,6,15,42.90%,3,7,100.00%,6,6,4,1,3,10,1,1,6,0,21
詹姆斯-哈登,17-18,负,雷霆108-102火箭,1,36,43.80%,7,16,37.50%,3,8,75.00%,9,12,4,0,4,9,1,1,5,5,26
詹姆斯-哈登,17-18,胜,开拓者94-96火箭,1,34,53.80%,7,13,50.00%,3,6,70.00%,7,10,6,1,5,7,1,0,8,0,24
詹姆斯-哈登,17-18,胜,奇才104-120火箭,1,34,66.70%,12,18,62.50%,5,8,90.00%,9,10,10,1,9,9,1,1,3,1,38
詹姆斯-哈登,17-18,负,马刺100-83火箭,1,36,42.10%,8,19,16.70%,1,6,100.00%,8,8,3,1,2,8,0,0,5,5,25
詹姆斯-哈登,17-18,胜,太阳103-104火箭,1,38,38.10%,8,21,12.50%,1,8,64.70%,11,17,8,0,8,10,2,1,4,1,28
詹姆斯-哈登,17-18,胜,老鹰99-118火箭,1,30,40.00%,6,15,14.30%,1,7,100.00%,5,5,10,0,10,15,2,0,2,2,18
詹姆斯-哈登,17-18,胜,鹈鹕91-114火箭,1,30,45.80%,11,24,27.30%,3,11,100.00%,2,2,6,0,6,8,1,1,9,0,27
詹姆斯-哈登,17-18,胜,活塞96-100火箭,1,40,20.00%,4,20,0.00%,0,8,72.20%,13,18,8,0,8,5,2,2,3,2,21
詹姆斯-哈登,17-18,胜,开拓者111-115火箭,1,33,52.00%,13,25,71.40%,5,7,73.30%,11,15,6,0,6,7,0,0,4,3,42
詹姆斯-哈登,17-18,胜,森林狼120-129火箭,1,37,50.00%,9,18,22.20%,2,9,100.00%,14,14,4,0,4,12,2,1,4,2,34
詹姆斯-哈登,17-18,胜,鹈鹕101-107火箭,1,38,39.30%,11,28,30.80%,4,13,75.00%,6,8,11,4,7,8,2,0,2,2,32
詹姆斯-哈登,17-18,胜,快船96-101火箭,1,34,43.80%,7,16,25.00%,2,8,88.90%,8,9,5,2,3,7,1,1,3,3,24
詹姆斯-哈登,17-18,胜,马刺93-109火箭,1,29,35.30%,6,17,18.20%,2,11,100.00%,14,14,6,2,4,6,0,0,3,3,28
詹姆斯-哈登,17-18,负,猛龙108-105火箭,1,33,68.20%,15,22,50.00%,4,8,85.70%,6,7,2,0,2,4,0,1,4,1,40
詹姆斯-哈登,17-18,胜,雄鹿99-110火箭,1,35,40.00%,8,20,30.00%,3,10,100.00%,7,7,5,0,5,6,4,1,5,2,26
詹姆斯-哈登,17-18,胜,雷霆112-122火箭,1,36,61.50%,8,13,33.30%,1,3,85.70%,6,7,5,0,5,11,4,1,10,4,23
詹姆斯-哈登,17-18,胜,凯尔特120-123火箭,1,38,33.30%,6,18,25.00%,3,12,84.60%,11,13,7,2,5,10,5,1,4,2,26
詹姆斯-哈登,17-18,胜,快船92-105火箭,1,33,50.00%,7,14,30.00%,3,10,88.90%,8,9,3,0,3,7,2,1,4,4,25
詹姆斯-哈登,17-18,胜,爵士85-96火箭,1,35,61.50%,8,13,20.00%,1,5,75.00%,9,12,11,1,10,5,4,0,6,1,26
詹姆斯-哈登,17-18,胜,掘金114-119火箭,1,37,55.00%,11,20,60.00%,6,10,81.30%,13,16,8,1,7,7,1,0,5,2,41
