date,station,city,pressure,wind_speed,wind_direction,temperature,humidity,rain20,rain08,cloud,visibility,phenomenon
20130114,503,E,834.4,4.9,999002,-7.2,38,0,0,35,12000,"03,"
20130114,504,E,850.1,2.9,999003,-3,41,0,0,83,11000,"03,"
20130115,201,B,1013.7,4.5,999004,15.1,74,0,0,70,5000,"05,01,"
20130115,501,E,789.5,3.5,999009,-8.1,50,0,0,13,20000,"03,02,"
20130115,502,E,813.6,3,999010,-6.4,50,0,0,50,11000,"03,02,"
20130115,503,E,836.5,3.1,999002,-8.2,47,0,0,30,12000,"03,"
20130115,504,E,852.3,1.9,999005,-3,44,0,0,13,12000,"03,"
20130116,201,B,1013.6,2.8,999010,17.4,70,0,0,0,5000,"05,10,01,"
20130116,501,E,792.6,4.4,999007,-6.7,40,0,0,3,25000,"03,"
20130116,502,E,816.5,3.2,999010,-6.3,47,0,0,0,12000,"03,02,"
20130116,503,E,839.6,3.2,999014,-7.6,43,0,0,8,12000,"03,"
20130116,504,E,855.3,2,999003,-2.4,43,0,0,0,11000,"03,"
20130117,201,B,1016.6,5.2,999001,16.7,59,0,999990,33,7000,"05,"
20130117,501,E,792.1,3.2,999015,-7.8,45,0,0,0,25000,"03,"
20130117,502,E,815.9,2.4,999012,-6.9,48,0,0,0,15000,"03,02,"
20130117,503,E,839,2.3,999016,-8.2,42,0,0,10,12000,"03,"
20130117,504,E,854.7,1.6,999005,-3.6,46,0,0,0,8000,"03,"
20130118,201,B,1019.2,5.2,999002,13.9,58,999990,0,55,4000,"05,60,"
20130118,501,E,788.2,3.2,999016,-6.9,44,0,0,80,20000,"03,"
20130118,502,E,811.6,4.4,999007,-5.1,60,0,0,13,13000,"03,02,"
20130118,503,E,834.5,4.2,999014,-7.2,52,0,0,5,12000,"03,"
20130118,504,E,850,1.7,999013,-2.3,51,0,0,67,7000,"03,"
20130119,201,B,1015.7,3.8,999006,14.4,64,0,0,0,6000,"05,01,"
20130119,501,E,782.4,4.7,999008,-6.7,69,0.2,0.2,100,20000,"03,"
20130119,502,E,806.3,6.6,999014,-5.2,84,0.4,0.4,75,6000,"03,02,"
20130119,503,E,829.1,4.3,999002,-6.7,70,999990,999990,65,12000,"03,"
20130119,504,E,844.7,2.4,999002,-2.7,69,1.1,1.1,100,8000,"03,"
20130120,201,B,1013,3.6,999003,17.3,81,0,0,90,10000,"10,05,"
20130120,501,E,788.9,4.1,999007,-9.2,74,999990,999990,100,20000,"03,02,"
20130120,502,E,813.5,3.8,999016,-8.7,75,0.8,0.8,95,6000,"03,70,16,10,02,"
20130120,503,E,836.5,5.2,999016,-8.8,76,0.8,0.8,75,12000,"03,"
20130120,504,E,852.5,2.1,999004,-4.7,75,0.6,0.6,67,8000,"03,16,"
20130121,201,B,1012,3,999004,20.6,83,0,0,75,11000,
20130121,501,E,790.7,3.7,999009,-9.7,69,999990,0,47,20000,"03,70,02,"
20130121,502,E,815.1,2.1,999015,-8.6,73,0,0,50,15000,"03,16,02,"
20130121,503,E,838.4,3.2,999002,-9.9,86,0,0,50,12000,"03,16,02,"
20130121,504,E,854.2,2.1,999005,-5.1,72,0,0,33,12000,"03,16,"
20130122,201,B,1011.5,2.6,999004,21.1,82,999990,999990,68,5500,"01,"
20130122,501,E,789.5,6,999008,-7.9,58,0,0,50,20000,"03,02,"
20130122,502,E,813.6,2.9,999002,-8.9,75,0,0,30,7000,"03,02,"
20130122,503,E,836.9,4.4,999016,-9.4,76,0,0,8,12000,"03,02,"
20130122,504,E,852.7,2.3,999003,-4.3,72,0,0,67,8000,"03,16,"
20130123,201,B,1011.5,4.2,999004,18.8,87,0,0,75,3500,"05,10,"
20130123,501,E,787.7,6.6,999015,-6.8,44,0,0,27,20000,"03,"
20130123,502,E,812.1,5,999015,-8.3,62,0,0,8,12000,"03,02,"
20130123,503,E,835,5,999002,-8.8,59,0,0,10,12000,"03,02,"
20130123,504,E,850.8,2.3,999004,-4.6,66,0,0,33,7000,"03,02,10,"
20130124,201,B,1010.8,4.1,999010,19,81,0,0,53,3000,"10,01,"
20130124,501,E,791.4,3.9,999007,-7.6,47,0,0,13,25000,"03,02,"
20130124,502,E,815.5,3.3,999012,-7.6,53,0,0,0,40000,"03,02,"
20130124,503,E,838.6,4.3,999006,-8.4,53,0,0,0,12000,"03,02,"
20130124,504,E,854.3,2,999005,-3.6,52,0,0,0,15000,"03,02,"
20130125,201,B,1011.5,4.5,999011,18,71,0,0,73,4000,"10,05,"
20130125,501,E,790.2,4.9,999007,-5.8,32,0,0,53,25000,"03,"
20130125,502,E,814,3.1,999012,-6.8,54,0,0,70,13000,"03,02,"
20130125,503,E,836.9,3.9,999016,-8.8,51,0,0,25,12000,"03,"
20130125,504,E,852.7,1.6,999004,-3.8,54,0,0,33,11000,"03,02,"
20130126,201,B,1011,3.6,999003,17.3,86,2.2,7.8,78,1500,"05,10,"
20130126,501,E,791.5,4.4,999007,-5.5,32,0,0,33,25000,"03,"
20130126,502,E,815.4,2.6,999011,-7,52,0,0,25,12000,"03,02,"
20130126,503,E,838.3,3.4,999006,-8.5,46,0,0,0,9000,"03,"
20130126,504,E,854.1,1.5,999004,-4.2,54,0,0,0,8000,"03,02,"
