code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600848,上海临港,0.17,139.86,,3.14,,19058.58,197.67,,08-29
300298,三诺生物,0.27,53.29,,7.2,,9357.21,78.7,,08-29
002132,恒星科技,0.06,20.0,,2.68,,7552.84,31.98,,08-29
600965,福成股份,0.08,-20.0,,3.69,,6552.55,-22.86,,08-29
601002,晋亿实业,0.1,243.33,,3.47,,8203.88,285.5,,08-29
002765,蓝黛科技,0.15,-46.43,,5.84,,6414.7,8.56,,08-29
603833,欧派家居,1.05,26.51,,9.76,,41409.02,33.42,,08-29
000408,藏格矿业,0.15,-46.7,,5.15,,31461.76,337.84,10派3,08-29
600337,美克家居,0.1,-50.98,,4.72,,15171.17,15.22,,08-29
002231,奥维通信,-0.04,-20.18,,-2.32,,-1552.76,-20.11,,08-29
300166,东方国信,0.1,-16.67,,2.59,,10366.08,49.6,,08-29
300465,高伟达,0.01,-75.0,,0.43,,446.3,-5.58,,08-29
300518,盛讯达,0.48,-32.69,,4.17,,4460.91,-9.63,,08-29
688265,南模生物,0.6,,4.9,13.12,,1056.92,,,08-29
000782,美达股份,0.02,-150.0,,0.86,,1011.7,-146.25,,08-29
300618,寒锐钴业,1.29,545.0,,22.44,,13594.4,660.81,,08-29
603726,朗迪集团,0.67,59.52,,8.15,,6319.36,91.12,,08-29
002155,湖南黄金,0.14,218.59,,3.7,,16276.29,238.13,,08-29
000922,佳电股份,0.01,-102.33,,0.38,,550.79,-102.38,,08-29
600692,亚通股份,0.06,100.65,,3.34,,2188.33,100.55,,08-29
300154,瑞凌股份,0.12,20.0,,3.42,,5400.02,16.41,,08-29
300486,东杰智能,0.19,-190.48,,4.26,,2704.64,-193.69,,08-29
300540,蜀道装备,0.09,-80.85,,1.17,,742.64,-73.89,,08-29
002044,美年健康,0.01,-200.0,,0.86,,2852.09,-227.03,,08-29
300308,中际旭创,0.02,0.0,,0.71,,396.88,-25.42,,08-29
301257,普蕊斯,0.65,,2.9,25.31,,651.31,,,08-29
002404,嘉欣丝绸,0.12,50.0,,4.68,,6080.07,50.11,,08-29
002705,新宝股份,0.25,-0.89,,6.05,,19343.74,35.91,,08-29
603708,家家悦,0.31,-34.04,,6.08,,14280.92,13.3,,08-29
000030,富奥股份,0.35,20.69,,8.39,,45343.98,22.82,,08-29
300639,凯普生物,0.5,0.2,,5.95,,3757.7,12.3,,08-29
300111,向日葵,0.01,-80.0,,0.76,,983.69,-81.88,,08-29
002539,云图控股,0.07,-36.36,,2.38,,7336.18,-33.29,,08-29
300176,派生科技,0.43,79.06,,6.95,,4594.28,79.04,,08-29
300796,贝斯美,0.48,11.63,5.52,10.9,,4074.41,27.89,,08-29
300529,健帆生物,0.36,33.33,,11.96,,14901.14,48.26,,08-29
002942,新农股份,0.47,42.42,2.93,15.24,,4215.52,42.16,,08-29
688303,大全能源,0.41,70.83,2.15,21.18,,26659.27,70.93,,08-29
600182,S*ST佳通,0.05,-76.02,,1.9,,1781.91,-76.01,,08-29
002099,海翔药业,0.15,-28.57,,4.97,,24346.06,-19.9,,08-29
300031,宝通科技,0.27,18.49,,4.88,,10677.77,38.88,,08-29
002425,凯撒文化,0.12,20.0,,2.84,,9851.07,121.42,,08-29
603090,宏盛股份,0.16,-36.76,,3.53,,1582.82,-16.51,,08-29
002729,好利科技,0.22,114.84,,3.59,,1474.55,116.06,,08-29
600258,首旅酒店,0.33,450.58,,3.52,,24071.66,1626.29,,08-29
600623,华谊集团,0.15,51.8,,1.96,,32139.8,56.09,,08-29
002763,汇洁股份,0.82,46.43,,10.54,,17742.99,47.92,10转8,08-29
300432,富临精工,0.42,35.48,,5.95,,21228.54,89.84,,08-29
603960,克来机电,0.2,-4.76,,5.58,,1819.2,42.37,,08-29
300464,星徽股份,0.06,-68.0,,2.66,,1343.11,-21.87,,08-29
002264,新华都,0.06,-17.1,,2.43,,4182.59,-14.15,,08-29
300496,中科创达,0.14,-22.19,,5.15,,5780.38,-21.42,,08-29
600798,宁波海运,0.06,803.23,,2.11,,5770.75,805.2,,08-29
603888,新华网,0.21,-68.18,,4.41,,10705.66,4.76,,08-29
601500,通用股份,0.09,-40.0,,2.52,,6438.34,-22.79,,08-29
688127,蓝特光学,0.6,233.33,3.97,16.38,,3550.43,264.24,,08-29
300230,永利股份,0.33,23.59,,5.72,,14748.94,173.67,,08-29
000637,茂化实华,0.1,1022.22,,5.95,,5242.35,973.53,,08-29
300526,*ST中潜,0.13,-53.57,,4.45,,2247.43,26.74,,08-29
002379,宏创控股,0.03,208.0,,2.33,,2849.4,292.56,,08-29
300316,晶盛机电,0.14,55.56,,4.24,,14169.68,88.16,,08-29
300647,超频三,0.21,-16.0,,6.39,,2013.53,-10.96,,08-29
300417,南华仪器,0.22,11.34,,4.6,,1818.12,11.34,,08-29
300219,鸿利智汇,0.26,18.18,,9.18,,17522.15,27.16,,08-29
002019,亿帆医药,0.44,33.33,,12.65,,48097.35,32.04,,08-29
002314,南山控股,0.07,-68.18,,2.12,,13705.26,-66.78,,08-29
688339,亿华通,-0.97,193.94,14.24,-6.56,,-1850.84,266.09,,08-29
600152,维科技术,0.13,-182.15,,6.45,,3675.47,-182.2,,08-29
002106,莱宝高科,0.09,-5.66,,1.72,,6355.33,-5.65,,08-29
600893,航发动力,0.08,100.0,,1.03,,15930.63,85.38,,08-29
600596,新安股份,0.31,-1313.67,,5.07,,21099.47,-1314.48,,08-29
603779,威龙股份,0.13,0.0,,3.3,,2626.95,23.9,,08-29
300073,当升科技,0.4,98.35,,10.31,,14492.31,296.77,,08-29
300406,九强生物,0.22,-9.98,,7.92,,10872.24,-10.25,,08-29
002807,江阴银行,0.2,-14.13,,4.04,,35243.7,-2.57,,08-29
300439,美康生物,0.28,12.0,,6.37,,9457.0,10.6,,08-29
605580,恒盛能源,0.11,,2.0,5.6,,761.43,,,08-29
300503,昊志机电,0.14,-56.25,,4.98,,3845.74,36.03,,08-29
601908,京运通,0.09,-25.0,,2.87,,18203.85,-21.97,,08-29
300293,蓝英装备,0.04,154.09,,1.65,,1090.01,153.12,,08-29
600177,雅戈尔,0.57,-56.49,,8.65,,204713.03,-33.33,,08-29
603030,全筑股份,0.05,-61.54,,1.77,,2575.02,20.21,,08-29
000010,美丽生态,-0.06,-273.21,,-2.08,,-4556.03,-273.09,,08-29
300327,中颖电子,0.3,34.96,,8.66,,6208.01,61.82,,08-29
600215,派斯林,0.03,-45.74,,0.6,,1451.12,-45.76,,08-29
600959,江苏有线,0.1,-28.57,,2.93,,38016.94,-9.38,,08-29
300061,旗天科技,0.21,90.91,,3.31,,10884.22,303.31,,08-29
000056,皇庭国际,0.09,0.0,,1.87,,9782.26,92.7,,08-29
002161,远望谷,-0.03,414.04,,-1.35,,-2164.04,414.81,,08-29
603823,百合花,0.26,-39.53,,4.9,,5826.57,-25.35,,08-29
000889,ST中嘉,0.17,-15.66,,4.3,,10780.71,-15.69,,08-29
603218,日月股份,0.31,-27.91,,4.63,,12317.0,-21.28,,08-29
603887,城地香江,0.41,-24.07,,5.78,,4062.25,1.8,,08-29
300427,红相股份,0.05,10.99,,2.29,,1432.78,11.07,,08-29
601212,白银有色,0.02,0.0,,1.13,,13486.73,6.98,,08-29
603303,得邦照明,0.62,2.21,,10.02,,12920.6,19.24,10派3.6转7,08-29
300460,惠伦晶体,0.04,-42.86,,0.94,,630.16,-49.7,,08-29
600371,万向德农,0.12,-11.54,,5.84,,2589.48,-9.07,,08-29
600100,同方股份,-0.04,-102.43,,-0.56,,-12066.41,-102.43,,08-29
600468,百利电气,0.04,-13.16,,2.03,,3588.3,33.94,,08-29
603569,长久物流,0.35,-18.6,,7.47,,14142.01,-9.54,,08-29
601958,金钼股份,0.01,-116.67,,0.12,,1532.53,-115.82,,08-29
600163,中闽能源,0.06,9.62,,3.51,,5650.09,8.42,,08-29
002378,章源钨业,0.01,-150.0,,0.26,,515.91,-123.94,,08-29
688800,瑞可达,0.2,-13.04,4.59,4.28,,1585.72,-1.67,,08-29
300049,福瑞股份,0.16,-5.88,,2.68,,3962.11,-9.08,,08-29
300348,长亮科技,0.07,211.21,,2.01,,1888.24,208.5,,08-29
600606,绿地控股,0.38,0.0,,7.95,,465766.44,1.28,,08-29
002747,埃斯顿,0.05,-44.44,,2.71,,4011.74,79.56,,08-29
300083,创世纪,0.21,425.0,,5.74,,30271.53,500.64,,08-29
300384,三联虹普,0.37,1.93,,5.21,,5672.75,6.04,,08-29
000429,粤高速A,0.43,48.28,,10.55,,89284.8,76.49,,08-29
300547,川环科技,0.77,-4.94,,7.27,,4620.22,27.7,,08-29
600731,湖南海利,0.05,28.8,,2.01,,1552.78,29.03,,08-29
601377,兴业证券,0.2,18.26,,4.05,,130934.66,17.79,,08-29
000590,启迪药业,0.06,15.51,,4.44,,1397.1,16.93,,08-29
300488,恒锋工具,0.44,-22.81,,5.88,,4541.71,28.02,,08-29
001289,龙源电力,0.3,-98.94,,,,249460.9,5.54,,08-29
300828,锐新科技,0.26,-7.14,3.37,7.52,,2161.62,-7.15,,08-29
300542,新晨科技,0.08,-16.83,,1.34,,756.77,11.06,,08-29
600491,龙元建设,0.18,77.87,,4.3,,23234.92,77.85,,08-29
300278,华昌达,0.12,9.09,,4.09,,6531.75,4.68,,08-29
300010,豆神教育,0.04,2.82,,0.65,,3496.11,15.62,,08-29
300344,立方数科,-0.04,-75.75,,-1.85,,-1200.35,-66.03,,08-29
002178,延华智能,-0.01,-120.0,,-0.53,,-616.47,-115.97,,08-29
601607,上海医药,0.72,11.11,,5.91,,192512.24,11.12,,08-29
300509,新美星,0.27,-34.15,,3.71,,2186.9,-19.34,,08-29
002594,比亚迪,0.59,-32.18,,3.33,,172291.4,-23.75,,08-29
601890,亚星锚链,0.03,-36.7,,0.9,,2648.39,-36.71,,08-29
600143,金发科技,0.09,-50.0,,2.45,,23947.28,-46.9,,08-29
300565,科信技术,0.17,-39.29,,3.73,,2731.33,-19.81,,08-29
003042,中农联合,1.03,,7.2,14.38,,7509.82,,,08-29
300299,富春股份,0.21,90.91,,5.59,,8137.87,99.84,,08-29
300598,诚迈科技,0.16,-44.11,,4.27,,1199.55,-28.6,,08-29
603098,森特股份,0.22,-15.38,,5.59,,8942.46,0.74,,08-29
000839,ST国安,0.06,-44.13,,3.6,,24084.31,39.77,,08-29
300663,科蓝软件,-0.31,-8.82,,-7.32,,-3062.28,-8.18,,08-29
601003,柳钢股份,0.15,401.3,,8.19,,39561.0,400.81,,08-29
000898,鞍钢股份,0.25,514.63,,3.98,,182300.0,507.67,,08-29
300434,金石亚药,0.1,14.16,,3.4,,1387.0,16.43,,08-29
002266,浙富控股,0.03,44.44,,1.73,,5144.41,43.09,,08-29
301062,上海艾录,0.23,35.29,3.69,6.46,,3245.57,39.18,,08-29
600170,上海建工,0.14,-6.67,,5.76,,126358.46,17.12,,08-29
000725,京东方A,0.12,-920.0,,4.48,,430260.56,-933.08,,08-29
002090,金智科技,0.33,56.33,,6.41,,7745.82,60.26,,08-29
600579,克劳斯,0.01,191.15,,0.3,,364.82,205.44,,08-29
002122,ST天马,0.03,50.0,,0.79,,3546.95,45.37,,08-29
300354,东华测试,0.0,-86.24,,0.06,,20.49,-86.36,,08-29
600613,神奇制药,0.1,-23.08,,2.46,,5119.06,-26.01,,08-29
300089,*ST文化,0.04,41.92,,1.02,,1795.28,64.5,,08-29
600287,江苏舜天,0.09,25.84,,1.97,,3935.01,25.74,,08-29
002789,建艺集团,0.54,0.0,,3.99,,4408.52,11.35,,08-29
300123,亚光科技,0.03,68.42,,0.78,,903.39,66.85,,08-29
300422,博世科,0.15,-6.0,,5.17,,5297.64,156.05,,08-29
300155,安居宝,-0.02,-300.0,,-0.73,,-828.59,-365.62,,08-29
001267,汇绿生态,0.07,0.0,,5.5,,4594.74,8.44,,08-29
603439,贵州三力,0.07,-78.1,1.12,5.72,,2489.7,-26.89,,08-29
002605,姚记科技,0.09,-30.53,,2.35,,3571.44,-26.21,,08-29
600824,益民集团,0.1,6.74,,4.76,,9975.34,6.08,,08-29
300576,容大感光,0.16,-42.86,,4.82,,1869.0,13.07,,08-29
603012,创力集团,0.12,-36.84,,3.15,,7734.98,12.19,,08-29
002671,龙泉股份,-0.08,-233.33,,-1.92,,-3921.66,-236.34,,08-29
300044,赛为智能,0.15,93.25,,5.78,,4996.26,97.04,,08-29
600232,金鹰股份,0.03,31.82,,0.91,,1070.97,34.77,,08-29
300640,德艺文创,0.3,10.48,,11.47,,2010.67,22.77,,08-29
002144,宏达高科,0.29,-6.45,,3.02,,5079.79,-8.1,,08-29
603797,联泰环保,0.16,-5.88,,3.53,,2838.11,3.42,,08-29
300078,思创医惠,0.09,-40.0,,3.51,,7259.73,14.4,,08-29
300673,佩蒂股份,0.63,18.87,,9.57,,3781.77,19.06,,08-29
603863,松炀资源,0.21,-57.14,2.85,8.48,,3031.51,10.62,,08-29
300112,万讯自控,0.04,0.0,,1.5,,1092.37,14.27,,08-29
000910,大亚圣象,0.26,30.0,,4.74,,13981.57,35.02,,08-29
300444,双杰电气,0.06,-14.29,,1.94,,1727.72,-19.81,,08-29
600606,绿地控股,0.38,0.0,,7.95,,465766.44,1.28,,08-29
002747,埃斯顿,0.05,-44.44,,2.71,,4011.74,79.56,,08-29
300083,创世纪,0.21,425.0,,5.74,,30271.53,500.64,,08-29
300106,西部牧业,-0.22,74.07,,-4.82,,-4639.18,74.04,,08-29
603233,大参林,0.69,15.0,,17.2,,24841.63,14.45,,08-29
300438,鹏辉能源,0.36,111.76,,6.72,,9621.17,120.29,,08-29
600025,华能水电,0.09,,,4.42,0.22,151830.6,541.5,,08-29
300786,国林科技,0.5,42.86,7.93,6.45,,1999.14,42.98,,08-29
605368,蓝天燃气,0.27,-1.51,3.42,7.55,,10602.97,-1.66,,08-29
300535,达威股份,0.44,-20.0,,4.09,,2600.39,5.33,,08-29
300003,乐普医疗,0.28,27.31,,8.66,,49533.29,31.23,,08-29
300602,飞荣达,0.38,-44.12,,4.31,,3608.47,-28.88,,08-29
603778,乾景园林,0.04,-69.23,,2.27,,2162.35,-14.76,,08-29
603822,嘉澳环保,0.22,-19.8,,2.55,,1616.2,-3.73,,08-29
300094,国联水产,0.09,350.0,,3.83,,7085.66,705.54,,08-29
002192,融捷股份,0.0,-40.0,,0.09,,62.73,-44.03,,08-29
300426,唐德影视,0.15,-57.14,,5.66,,6007.51,6.01,,08-29
002522,浙江众成,0.05,-16.67,,2.52,,4156.26,-14.58,,08-29
300194,福安药业,0.15,-50.0,,4.49,,18148.91,116.56,,08-29
600410,华胜天成,0.14,282.51,,3.15,,15270.82,366.71,,08-29
001696,宗申动力,0.14,-4.85,,4.54,,16384.63,-4.85,,08-29
601669,中国电建,0.26,3.34,,6.04,,370547.9,7.21,,08-29
300228,富瑞特装,0.09,-160.0,,2.43,,4380.78,-161.26,,08-29
300960,通业科技,0.26,18.18,2.16,11.22,,1795.33,18.31,,08-29
300260,新莱应材,0.06,67.3,,2.0,,1249.36,416.04,,08-29
300292,吴通控股,0.07,-82.93,,3.39,,8808.06,-32.45,,08-29
300591,万里马,0.04,,,4.58,,1316.91,5.06,,08-29
600546,山煤国际,0.05,-122.73,,2.46,,10009.52,-122.63,,08-29
301189,奥尼电子,-0.02,,1.12,-1.68,,-89.67,,,08-29
300326,凯利泰,0.13,-27.85,,5.03,,9501.99,43.58,,08-29
002420,毅昌科技,-0.13,-30.49,,-3.2,,-5237.51,-30.48,,08-29
300358,楚天科技,0.15,36.36,,3.66,,6229.78,24.99,,08-29
002478,常宝股份,0.08,-42.86,,2.13,,6189.42,10.06,,08-29
002781,*ST奇信,0.31,14.81,,4.19,,6970.93,15.44,,08-29
603920,世运电路,0.29,-21.62,,7.14,,9892.59,-13.88,,08-29
002851,麦格米特,0.28,-12.07,,4.45,,4641.4,7.51,,08-29
600395,盘江股份,0.28,,,7.23,,46091.58,576765.83,,08-29
600757,长江传媒,0.31,24.0,,6.66,,38074.61,26.49,,08-29
300217,东方电热,0.03,53.09,,2.07,,3775.46,53.18,,08-29
002312,川发龙蟒,-0.14,7.69,,-6.59,,-19694.02,64.59,,08-29
600496,精工钢构,0.04,-41.31,,1.47,,5552.87,-41.35,,08-29
300281,金明精机,0.12,20.0,,4.04,,2996.89,18.74,,08-29
002083,孚日股份,0.27,41.26,,7.57,,24373.83,39.07,10派1,08-29
603017,中衡设计,0.26,0.88,,4.51,,7148.43,14.23,,08-29
600909,华安证券,0.11,22.22,,3.38,,40647.13,52.71,,08-29
002712,思美传媒,0.46,119.05,,6.71,,13529.72,128.87,,08-29
300048,合康新能,0.04,-69.23,,1.77,,4399.12,-56.72,,08-29
002746,仙坛股份,0.2,-58.33,,1.79,,3705.19,-51.49,,08-29
300082,奥克股份,0.12,151.37,,2.99,,8045.38,151.54,,08-29
002170,芭田股份,0.01,-82.76,,0.55,,1125.55,-82.45,,08-29
601007,金陵饭店,0.16,184.21,,3.42,,4865.87,184.11,,08-29
300404,博济医药,0.0,-126.98,,0.11,,45.93,-127.37,,08-29
600671,ST目药,-0.06,-12.39,,-13.06,,-722.84,-12.41,,08-29
601233,桐昆股份,0.5,42.86,,5.5,,62046.62,77.49,,08-29
300469,信息发展,-0.15,-12.0,,-2.32,,-1054.11,-9.97,,08-29
601900,南方传媒,0.27,8.0,,5.96,,21992.14,16.4,,08-29
688328,深科达,0.15,400.0,4.41,5.55,,776.81,402.42,,08-29
300270,中威电子,0.1,-24.36,,4.33,,2766.92,-23.22,,08-29
000703,恒逸石化,0.53,96.3,,7.51,,85204.85,142.06,,08-29
300002,神州泰岳,0.01,-93.67,,0.3,,1531.82,-93.74,,08-29
300085,银之杰,0.01,-33.63,,1.04,,1009.87,-33.83,,08-29
603877,太平鸟,0.2,-41.18,,3.23,,9400.86,-34.36,,08-29
000919,金陵药业,0.2,-8.36,,3.88,,10059.1,-8.35,,08-29
300151,昌红科技,0.03,-25.0,,1.61,,1325.61,-33.36,,08-29
000965,天保基建,0.17,54.55,,3.63,,17371.16,55.69,,08-29
603336,宏辉果蔬,0.26,-7.14,,4.63,,3492.81,23.81,,08-29
300185,通裕重工,0.03,-66.67,,1.97,,9900.02,19.16,,08-29
600433,冠豪高新,0.03,-10.67,,1.35,,3402.83,-17.75,,08-29
002008,大族激光,0.86,126.32,,15.83,,91411.04,128.75,,08-29
002304,洋河股份,2.59,14.1,,14.22,,390826.05,14.15,,08-29
002600,领益智造,0.06,20.0,,2.52,,13379.38,159.49,,08-29
300537,广信材料,0.15,-46.54,,4.81,,2388.16,13.47,,08-29
300571,平治信息,1.26,51.81,,18.38,,5032.46,101.61,10转10,08-29
600522,中天科技,0.32,14.1,,7.75,,95057.58,30.63,,08-29
603703,盛洋科技,0.09,80.0,,3.82,,2024.19,71.3,,08-29
600597,光明乳业,0.3,52.19,,7.11,,36630.69,52.17,,08-29
000078,海王生物,0.09,-9.09,,4.3,,23565.62,135.34,,08-29
002808,恒久科技,0.08,-52.54,,3.02,,1603.71,0.47,,08-29
600348,华阳股份,0.35,775.0,,5.24,,85274.5,904.14,,08-29
603978,深圳新星,0.83,-23.85,,7.21,,4959.48,-24.2,,08-29
300173,福能东方,0.09,7.88,,3.06,,5061.44,8.01,,08-29
600748,上实发展,0.12,-20.0,,2.47,,22761.35,10.37,,08-29
688127,蓝特光学,0.6,233.33,3.97,16.38,,3550.43,264.24,,08-29
300230,永利股份,0.33,23.59,,5.72,,14748.94,173.67,,08-29
000637,茂化实华,0.1,1022.22,,5.95,,5242.35,973.53,,08-29
300526,*ST中潜,0.13,-53.57,,4.45,,2247.43,26.74,,08-29
300262,巴安水务,0.27,21.91,,5.77,,11986.57,46.52,,08-29
603628,清源股份,0.09,80.0,,2.84,,2408.18,158.8,,08-29
002390,信邦制药,0.09,12.5,,2.28,,14653.06,12.74,,08-29
603031,安孚科技,0.23,-36.11,,3.17,,1875.35,-13.88,,08-29
300027,华谊兄弟,0.15,36.36,,4.66,,43031.37,42.12,,08-29
600216,浙江医药,0.09,-55.24,,1.28,,9016.3,-53.07,,08-29
300625,三雄极光,0.36,16.84,,6.28,,8874.19,34.76,,08-29
000058,深赛格,0.04,18.42,,2.67,,5000.88,86.21,,08-29
300360,炬华科技,0.22,-37.14,,6.0,,8015.11,-37.03,,08-29
603825,华扬联众,0.23,2200.0,,4.2,,2741.59,2857.41,,08-29
300690,双一科技,0.99,8.79,,13.01,,5143.85,8.37,,08-29
603888,新华网,0.21,-68.18,,4.41,,10705.66,4.76,,08-29
601500,通用股份,0.09,-40.0,,2.52,,6438.34,-22.79,,08-29
300219,鸿利智汇,0.26,18.18,,9.18,,17522.15,27.16,,08-29
002019,亿帆医药,0.44,33.33,,12.65,,48097.35,32.04,,08-29
002314,南山控股,0.07,-68.18,,2.12,,13705.26,-66.78,,08-29
002379,宏创控股,0.03,208.0,,2.33,,2849.4,292.56,,08-29
300316,晶盛机电,0.14,55.56,,4.24,,14169.68,88.16,,08-29
300647,超频三,0.21,-16.0,,6.39,,2013.53,-10.96,,08-29
300417,南华仪器,0.22,11.34,,4.6,,1818.12,11.34,,08-29
300503,昊志机电,0.14,-56.25,,4.98,,3845.74,36.03,,08-29
601908,京运通,0.09,-25.0,,2.87,,18203.85,-21.97,,08-29
688339,亿华通,-0.97,193.94,14.24,-6.56,,-1850.84,266.09,,08-29
600152,维科技术,0.13,-182.15,,6.45,,3675.47,-182.2,,08-29
002106,莱宝高科,0.09,-5.66,,1.72,,6355.33,-5.65,,08-29
600893,航发动力,0.08,100.0,,1.03,,15930.63,85.38,,08-29
600596,新安股份,0.31,-1313.67,,5.07,,21099.47,-1314.48,,08-29
603779,威龙股份,0.13,0.0,,3.3,,2626.95,23.9,,08-29
300073,当升科技,0.4,98.35,,10.31,,14492.31,296.77,,08-29
300406,九强生物,0.22,-9.98,,7.92,,10872.24,-10.25,,08-29
002807,江阴银行,0.2,-14.13,,4.04,,35243.7,-2.57,,08-29
300439,美康生物,0.28,12.0,,6.37,,9457.0,10.6,,08-29
605580,恒盛能源,0.11,,2.0,5.6,,761.43,,,08-29
600100,同方股份,-0.04,-102.43,,-0.56,,-12066.41,-102.43,,08-29
002231,奥维通信,-0.04,-20.18,,-2.32,,-1552.76,-20.11,,08-29
300166,东方国信,0.1,-16.67,,2.59,,10366.08,49.6,,08-29
300465,高伟达,0.01,-75.0,,0.43,,446.3,-5.58,,08-29
300518,盛讯达,0.48,-32.69,,4.17,,4460.91,-9.63,,08-29
688265,南模生物,0.6,,4.9,13.12,,1056.92,,,08-29
000782,美达股份,0.02,-150.0,,0.86,,1011.7,-146.25,,08-29
300618,寒锐钴业,1.29,545.0,,22.44,,13594.4,660.81,,08-29
603726,朗迪集团,0.67,59.52,,8.15,,6319.36,91.12,,08-29
002155,湖南黄金,0.14,218.59,,3.7,,16276.29,238.13,,08-29
000922,佳电股份,0.01,-102.33,,0.38,,550.79,-102.38,,08-29
600692,亚通股份,0.06,100.65,,3.34,,2188.33,100.55,,08-29
300154,瑞凌股份,0.12,20.0,,3.42,,5400.02,16.41,,08-29
300486,东杰智能,0.19,-190.48,,4.26,,2704.64,-193.69,,08-29
300540,蜀道装备,0.09,-80.85,,1.17,,742.64,-73.89,,08-29
002044,美年健康,0.01,-200.0,,0.86,,2852.09,-227.03,,08-29
300308,中际旭创,0.02,0.0,,0.71,,396.88,-25.42,,08-29
301257,普蕊斯,0.65,,2.9,25.31,,651.31,,,08-29
002404,嘉欣丝绸,0.12,50.0,,4.68,,6080.07,50.11,,08-29
002705,新宝股份,0.25,-0.89,,6.05,,19343.74,35.91,,08-29
603708,家家悦,0.31,-34.04,,6.08,,14280.92,13.3,,08-29
000030,富奥股份,0.35,20.69,,8.39,,45343.98,22.82,,08-29
300639,凯普生物,0.5,0.2,,5.95,,3757.7,12.3,,08-29
300111,向日葵,0.01,-80.0,,0.76,,983.69,-81.88,,08-29
002539,云图控股,0.07,-36.36,,2.38,,7336.18,-33.29,,08-29
300176,派生科技,0.43,79.06,,6.95,,4594.28,79.04,,08-29
300796,贝斯美,0.48,11.63,5.52,10.9,,4074.41,27.89,,08-29
300529,健帆生物,0.36,33.33,,11.96,,14901.14,48.26,,08-29
002942,新农股份,0.47,42.42,2.93,15.24,,4215.52,42.16,,08-29
688303,大全能源,0.41,70.83,2.15,21.18,,26659.27,70.93,,08-29
600182,S*ST佳通,0.05,-76.02,,1.9,,1781.91,-76.01,,08-29
002099,海翔药业,0.15,-28.57,,4.97,,24346.06,-19.9,,08-29
300031,宝通科技,0.27,18.49,,4.88,,10677.77,38.88,,08-29
002425,凯撒文化,0.12,20.0,,2.84,,9851.07,121.42,,08-29
603090,宏盛股份,0.16,-36.76,,3.53,,1582.82,-16.51,,08-29
002729,好利科技,0.22,114.84,,3.59,,1474.55,116.06,,08-29
600258,首旅酒店,0.33,450.58,,3.52,,24071.66,1626.29,,08-29
600623,华谊集团,0.15,51.8,,1.96,,32139.8,56.09,,08-29
002763,汇洁股份,0.82,46.43,,10.54,,17742.99,47.92,10转8,08-29
300432,富临精工,0.42,35.48,,5.95,,21228.54,89.84,,08-29
603960,克来机电,0.2,-4.76,,5.58,,1819.2,42.37,,08-29
300464,星徽股份,0.06,-68.0,,2.66,,1343.11,-21.87,,08-29
002264,新华都,0.06,-17.1,,2.43,,4182.59,-14.15,,08-29
300496,中科创达,0.14,-22.19,,5.15,,5780.38,-21.42,,08-29
688083,中望软件,0.05,,1.04,4.55,,183.59,,,08-29
300222,科大智能,0.15,25.0,,2.71,,10024.62,34.56,,08-29
600089,特变电工,0.42,12.58,,5.71,,136236.41,12.3,,08-29
600798,宁波海运,0.06,803.23,,2.11,,5770.75,805.2,,08-29
601858,中国科传,0.12,50.0,,3.19,,8931.95,64.97,,08-29
002614,奥佳华,0.17,88.89,,3.59,,9227.78,81.51,,08-29
002054,德美化工,0.06,-74.37,,1.4,,2547.04,-74.41,,08-29
301057,汇隆新材,0.12,300.0,1.64,7.92,,906.97,258.69,,08-29
300585,奥联电子,0.38,-11.63,,6.92,,3029.03,18.5,,08-29
603022,新通联,0.08,-11.11,,2.65,,1580.46,-12.2,,08-29
300319,麦捷科技,0.06,-70.0,,1.94,,4324.97,-1.2,,08-29
002717,岭南股份,0.48,71.43,,7.28,,20039.49,94.11,,08-29
300053,欧比特,0.09,152.0,,2.77,,5496.27,171.9,,08-29
000042,中洲控股,0.23,464.76,,2.54,,15132.47,471.93,,08-29
300352,北信源,0.01,-63.47,,0.82,,1775.32,3.63,,08-29
600284,浦东建设,0.21,2.68,,2.79,,14852.76,2.7,,08-29
300153,科泰电源,0.05,25.0,,1.66,,1614.96,12.97,,08-29
002888,惠威科技,0.25,19.05,,6.23,,1581.69,19.39,,08-29
300220,金运激光,0.05,17.67,,2.3,,662.34,17.57,,08-29
688351,微电生理,-0.13,,0.92,-13.0,,-899.25,,,08-28
301115,建科股份,0.21,-41.67,3.97,5.39,,2208.16,7.78,,08-28
000858,五粮液,1.31,27.93,,10.03,,497150.56,27.91,,08-28
300669,沪宁股份,0.28,1.59,,8.04,,1779.43,1.57,,08-28
300108,*ST吉药,0.12,-18.83,,4.06,,7426.31,21.69,,08-28
603321,梅轮电梯,0.19,,2.38,8.75,0.04,4449.25,,,08-28
300788,中信出版,0.8,59.74,4.69,17.81,,11381.97,77.08,,08-28
300593,新雷能,0.13,-51.85,,3.43,,1539.42,-33.08,,08-28
300658,延江股份,0.55,-17.91,,16.35,,4357.41,-13.62,,08-28
000930,中粮科技,0.23,1692.31,,13.39,,22423.48,1756.14,,08-28
605183,确成股份,0.22,0.0,3.12,7.19,,7889.05,5.67,,08-28
002589,瑞康医药,0.34,-12.76,,7.24,,51412.07,136.7,,08-28
301318,维海德,0.67,,3.14,25.16,,1685.49,,,08-28
